State,POP_2015,POP_2016,POP_2017,POP_2018,POP_2019,POP_2020,POP_2021,POP_CHANGE_TOTAL,POP_CHANGE_PCT,Poverty Rate,Unemployment Rate,Median Household Income,Percentage without Health Insurance
Idaho,1654930.0,1683140.0,1716943.0,1754208.0,1787065.0,1847772.0,1900923.0,245993.0,14.864254077211726,11.4,4.0,83777.0,10.200000000000003
Utah,2995919.0,3051217.0,3101833.0,3161105.0,3205958.0,3281684.0,3337975.0,342056.0,11.417398133928188,8.8,3.5,101412.0,9.0
Nevada,2890845.0,2940058.0,2998039.0,3034392.0,3080156.0,3114071.0,3143991.0,253146.0,8.756816778485184,12.9,7.1,89562.0,11.299999999999995
Washington,7170351.0,7288000.0,7405743.0,7535591.0,7614893.0,7718785.0,7738692.0,568341.0,7.926264697502256,10.0,5.1,111431.0,6.400000000000006
Texas,27469114.0,27862596.0,28304596.0,28701845.0,28995881.0,29217653.0,29527941.0,2058827.0,7.495061544394916,14.0,5.4,94115.0,17.599999999999994
Florida,20271272.0,20612439.0,20984400.0,21299325.0,21477737.0,21569932.0,21781128.0,1509856.0,7.4482548505096275,13.1,5.3,88267.0,12.599999999999996
Montana,1032949.0,1042520.0,1050493.0,1062305.0,1068778.0,1086193.0,1104271.0,71322.0,6.904697134127629,12.5,4.1,82237.0,8.599999999999994
Arizona,6828065.0,6931071.0,7016270.0,7171646.0,7278717.0,7177986.0,7276316.0,448251.0,6.564832057105491,13.5,5.6,89693.0,10.700000000000003
Colorado,5456574.0,5540545.0,5607154.0,5695564.0,5758736.0,5784308.0,5812069.0,355495.0,6.514985410259258,9.6,4.6,107446.0,7.900000000000006
Delaware,945934.0,952065.0,961939.0,967171.0,973764.0,991886.0,1003384.0,57450.0,6.073362412176748,11.4,5.7,97081.0,5.799999999999998
South Carolina,4896146.0,4961119.0,5024369.0,5084127.0,5148714.0,5130729.0,5190705.0,294559.0,6.016140041575557,14.5,5.3,81142.0,10.5
Georgia,10214860.0,10310371.0,10429379.0,10519475.0,10617423.0,10725800.0,10799566.0,584706.0,5.724072576618769,13.9,5.5,91082.0,13.099999999999996
Tennessee,6600299.0,6651194.0,6715984.0,6770010.0,6829174.0,6920119.0,6975218.0,374919.0,5.680333572766931,14.3,5.3,82012.0,10.099999999999994
Oregon,4028977.0,4093465.0,4142776.0,4190713.0,4217737.0,4241544.0,4246155.0,217178.0,5.390400590522111,12.1,5.6,94034.0,6.700000000000002
North Carolina,10042802.0,10146788.0,10273419.0,10383620.0,10488084.0,10457177.0,10551162.0,508360.0,5.0619339104763785,13.7,5.3,84888.0,10.700000000000003
New Hampshire,1330608.0,1334795.0,1342795.0,1356458.0,1359711.0,1377848.0,1388992.0,58384.0,4.38776859901639,7.4,3.8,108061.0,5.900000000000006
South Dakota,858469.0,865454.0,869666.0,882235.0,884659.0,887099.0,895376.0,36907.0,4.299165141664988,12.5,3.2,83175.0,9.599999999999994
Minnesota,5489594.0,5519952.0,5576606.0,5611179.0,5639632.0,5707165.0,5707390.0,217796.0,3.967433657206708,9.2,4.0,102691.0,4.599999999999994
Alabama,4858979.0,4863300.0,4874747.0,4887871.0,4903185.0,5024803.0,5039877.0,180898.0,3.722963198647288,15.8,5.4,76150.0,9.700000000000003
Rhode Island,1056298.0,1056426.0,1059639.0,1057315.0,1059361.0,1096229.0,1095610.0,39312.0,3.721677026748134,11.3,6.0,97908.0,4.400000000000006
Nebraska,1896190.0,1907116.0,1920076.0,1929268.0,1934408.0,1961455.0,1963692.0,67502.0,3.5598753289491034,10.3,3.3,87815.0,8.0
New Jersey,8958013.0,8944469.0,9005644.0,8908520.0,8882190.0,9279743.0,9267130.0,309117.0,3.450731763840932,9.8,6.2,124626.0,7.599999999999994
Maine,1329328.0,1331479.0,1335907.0,1338404.0,1344212.0,1362280.0,1372247.0,42919.0,3.2286237858527014,11.0,4.2,83914.0,7.400000000000006
Vermont,626042.0,624594.0,623657.0,626299.0,623989.0,642495.0,645570.0,19528.0,3.1192795371556543,10.5,3.9,89820.0,4.099999999999993
Virginia,8382993.0,8411808.0,8470020.0,8517685.0,8535519.0,8632044.0,8642274.0,259281.0,3.0929406716670287,9.9,4.6,111013.0,7.900000000000006
Indiana,6619680.0,6633053.0,6666818.0,6691878.0,6732219.0,6785644.0,6805985.0,186305.0,2.8144109685060306,12.5,4.7,81703.0,8.0
Massachusetts,6794422.0,6811779.0,6859819.0,6902149.0,6892503.0,7022220.0,6984723.0,190301.0,2.80084163156189,9.9,5.4,123174.0,2.799999999999997
Maryland,6006401.0,6016447.0,6052177.0,6042718.0,6045680.0,6172679.0,6165129.0,158728.0,2.6426474023296147,9.2,5.3,120234.0,6.0
North Dakota,756927.0,757952.0,755393.0,760077.0,762062.0,778962.0,774948.0,18021.0,2.3808108311633753,10.7,3.2,89443.0,7.5
Iowa,3123899.0,3134693.0,3145711.0,3156145.0,3155070.0,3188669.0,3193079.0,69180.0,2.2145402268127103,11.0,3.9,84948.0,4.900000000000006
Wisconsin,5771337.0,5778708.0,5795483.0,5813568.0,5822434.0,5892323.0,5895908.0,124571.0,2.158442662419471,10.7,3.5,87733.0,5.5
Oklahoma,3911338.0,3923561.0,3930864.0,3943079.0,3956971.0,3962031.0,3986639.0,75301.0,1.9251979757310669,15.2,5.0,78040.0,14.299999999999995
Kentucky,4425092.0,4436974.0,4454189.0,4468402.0,4467673.0,4503958.0,4509394.0,84302.0,1.9050903348450154,16.3,5.3,76511.0,5.799999999999998
Arkansas,2978204.0,2988248.0,3004279.0,3013825.0,3017804.0,3012232.0,3025891.0,47687.0,1.6011999178028102,16.0,5.3,73346.0,8.700000000000003
New Mexico,2085109.0,2081015.0,2088070.0,2095428.0,2096829.0,2117566.0,2115877.0,30768.0,1.4756063112288136,18.3,6.6,74363.0,9.599999999999994
